Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
18:05:40.682275,A100,1,1,1,small_lstm,128,1,13.211246514365165,9.688714827992953
18:05:50.373317,A100,1,1,1,small_lstm,128,2,30.7985458246325,8.31208075399627
18:05:58.687054,A100,1,1,1,small_lstm,128,4,73.73599975331435,6.943691028980538
18:06:05.632403,A100,1,1,1,small_lstm,128,8,125.86087237343735,8.135967760987114
18:06:13.770630,A100,1,1,1,small_lstm,128,16,295.60579771881623,6.92814557699603
18:06:20.700639,A100,1,1,1,small_lstm,128,32,492.4177133389418,8.318141060008202
18:06:29.020464,A100,1,1,1,small_lstm,128,64,1169.6274800221647,7.003939407994039
18:06:36.026110,A100,1,1,1,small_lstm,128,128,1900.3847510579653,8.6214120539953
18:06:44.649306,A100,1,1,1,small_lstm,128,256,4558.785394490362,7.187879482022254
18:06:51.838024,A100,1,1,1,small_lstm,128,512,7656.367615245879,8.559672588016838
18:07:00.398528,A100,1,1,1,small_lstm,128,1024,17059.80634764108,7.683088385005249
18:07:08.082492,A100,1,1,1,medium_cnn,128,1,9.510473538706911,13.458846132009057
18:07:21.542185,A100,1,1,1,medium_cnn,128,2,32.42226680850594,7.895808196015423
18:07:29.438818,A100,1,1,1,medium_cnn,128,4,73.48017838835077,6.9678655010065995
18:07:36.407539,A100,1,1,1,medium_cnn,128,8,118.93996241081815,8.609385602991097
18:07:45.017770,A100,1,1,1,medium_cnn,128,16,227.41393259405598,9.005604787002085
18:07:54.024243,A100,1,1,1,medium_cnn,128,32,298.4382417877471,13.724782639998011
18:08:07.749875,A100,1,1,1,medium_cnn,128,64,381.80707325524565,21.455862328992225
18:08:29.206629,A100,1,1,1,medium_cnn,128,128,454.9576098667844,36.012146285007475
18:09:05.219638,A100,1,1,1,medium_cnn,128,256,501.20897183895056,65.37791987197124
18:10:10.598475,A100,1,1,1,medium_cnn,128,512,572.083507335796,114.55670222901972
18:12:05.155973,A100,1,1,1,medium_cnn,128,1024,533.4158147049424,245.7219984609983
18:16:10.878884,A100,1,1,1,large_tcnn,128,1,11.148772252167577,11.481084832019405
18:16:22.360818,A100,1,1,1,large_tcnn,128,2,23.541899357482972,10.874228800006676
18:16:33.235917,A100,1,1,1,large_tcnn,128,4,43.70599387899138,11.714640363003127
18:16:44.951420,A100,1,1,1,large_tcnn,128,8,70.00350797080193,14.627838371001417
18:16:59.580117,A100,1,1,1,large_tcnn,128,16,101.19764187432254,20.23762572000851
18:17:19.818672,A100,1,1,1,large_tcnn,128,32,122.25463907253727,33.50384108998696
18:17:53.323467,A100,1,1,1,large_tcnn,128,64,144.6089709665727,56.64932089098147
18:18:49.973681,A100,1,1,1,large_tcnn,128,128,156.31467786190012,104.81421338100336
18:20:34.788785,A100,1,1,1,large_tcnn,128,256,173.69895169252436,188.64823121100198
18:23:43.437866,A100,1,1,1,large_tcnn,128,512,163.10376101963945,401.8055720499833
18:30:25.244306,A100,1,1,1,large_tcnn,128,1024,172.5419720985068,759.6528450780024
