Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
13:07:00.329410,A100,1,1,1,small_lstm,32768,1,200.84311520184397,163.15221941797063
13:09:48.725636,A100,1,1,2,small_lstm,32768,1,214.9433374190751,304.8989598231856
13:15:03.661948,A100,1,1,4,small_lstm,32768,1,300.9183610722472,435.5732881601434
13:22:26.859165,A100,1,1,6,small_lstm,32768,1,446.45502417172645,440.3758259071037
13:29:57.207712,A100,1,1,8,small_lstm,32768,1,780.9239848789144,335.6844008839689
13:35:00.379134,A100,1,1,1,small_lstm,32768,2,414.6508313044749,158.0510517579969
13:37:44.284224,A100,1,1,2,small_lstm,32768,2,425.9308164231256,307.7307274939958
13:43:01.059648,A100,1,1,4,small_lstm,32768,2,830.5954394699809,315.6097271221224
13:48:28.740690,A100,1,1,6,small_lstm,32768,2,1169.5718431204539,336.2050842049066
13:54:10.999598,A100,1,1,8,small_lstm,32768,2,1351.9730415975762,387.7947147381492
14:00:06.141318,A100,1,1,1,small_lstm,32768,4,827.9874303549816,158.30192004702985
14:02:50.303182,A100,1,1,2,small_lstm,32768,4,851.2780358946605,307.941693485016
14:08:08.416082,A100,1,1,4,small_lstm,32768,4,1655.8381027727758,316.6299888389185
14:13:35.980266,A100,1,1,6,small_lstm,32768,4,1670.7011323692186,470.71973841590807
14:21:34.381723,A100,1,1,8,small_lstm,32768,4,2507.4560469981166,418.1832025551703
14:27:58.329369,A100,1,1,1,small_lstm,32768,8,1549.1487595606477,169.21809373190627
14:30:53.427152,A100,1,1,2,small_lstm,32768,8,1601.5248590463143,327.36800620891154
14:36:18.839288,A100,1,1,4,small_lstm,32768,8,3204.6935871182836,327.20008059893735
14:41:48.404534,A100,1,1,6,small_lstm,32768,8,3644.135381996739,431.61513915495016
14:49:26.393231,A100,1,1,8,small_lstm,32768,8,4175.274210686896,502.27886701002717
14:57:16.417218,A100,1,1,1,small_lstm,32768,16,2994.7825717585647,175.0671334019862
