Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
13:37:08.440056,CPU,1,1,1,small_lstm,32768,1,9091.224131275152,3.6043550930917263
13:37:12.047667,CPU,1,1,2,small_lstm,32768,1,11994.506089142778,5.463834818452597
13:37:17.540202,CPU,1,1,4,small_lstm,32768,1,11757.660017205493,11.147796398960054
13:37:28.725296,CPU,1,1,6,small_lstm,32768,1,11612.373482279603,16.93090566713363
13:37:45.698263,CPU,1,1,8,small_lstm,32768,1,11447.123694513763,22.90042520686984
13:38:08.492351,CPU,1,1,1,small_lstm,32768,2,24577.902925004302,2.666460202075541
13:38:11.162140,CPU,1,1,2,small_lstm,32768,2,24043.33000881036,5.45149111840874
13:38:16.641435,CPU,1,1,4,small_lstm,32768,2,23372.75245567952,11.215794994495809
13:38:27.892645,CPU,1,1,6,small_lstm,32768,2,23177.925845271686,16.96510734502226
13:38:44.901516,CPU,1,1,8,small_lstm,32768,2,22921.125947950077,22.873570922762156
13:39:07.669852,CPU,1,1,1,small_lstm,32768,4,49789.350815181424,2.632530809380114
13:39:10.305206,CPU,1,1,2,small_lstm,32768,4,48142.941950104156,5.4451180044561625
13:39:15.779634,CPU,1,1,4,small_lstm,32768,4,47253.07960835831,11.095319169573486
13:39:26.909359,CPU,1,1,6,small_lstm,32768,4,46395.44222341735,16.950630542822182
13:39:43.907947,CPU,1,1,8,small_lstm,32768,4,45675.45207474314,22.95710173342377
13:40:06.755276,CPU,1,1,1,small_lstm,32768,8,100182.67021147715,2.6166601413860917
13:40:09.374991,CPU,1,1,2,small_lstm,32768,8,96469.96393660478,5.434727853164077
13:40:14.828591,CPU,1,1,4,small_lstm,32768,8,93643.39776598422,11.197543286718428
13:40:26.069995,CPU,1,1,6,small_lstm,32768,8,92598.88525286957,16.985776834189892
13:40:43.099589,CPU,1,1,8,small_lstm,32768,8,92135.1915209525,22.761682755313814
13:41:05.755844,CPU,1,1,1,small_lstm,32768,16,200432.7607029159,2.6157799661159515
13:41:08.374537,CPU,1,1,2,small_lstm,32768,16,193455.37030194025,5.420247565954924
13:41:13.824768,CPU,1,1,4,small_lstm,32768,16,187060.72145537735,11.211076187901199
13:41:25.063980,CPU,1,1,6,small_lstm,32768,16,185312.08189512166,16.975299008190632
13:41:42.087897,CPU,1,1,8,small_lstm,32768,16,183455.196937606,22.8628246570006
13:42:04.845244,CPU,1,1,1,small_lstm,32768,32,400939.62451985176,2.6152965081855655
13:42:07.463790,CPU,1,1,2,small_lstm,32768,32,386910.75695799064,5.42024733684957
13:42:12.911683,CPU,1,1,4,small_lstm,32768,32,375997.1744608562,11.155147657729685
13:42:24.102017,CPU,1,1,6,small_lstm,32768,32,369604.54510202626,17.02212833520025
13:42:41.170234,CPU,1,1,8,small_lstm,32768,32,367440.801617262,22.829821737483144
13:43:03.892203,CPU,1,1,1,small_lstm,32768,64,794413.3246582064,2.6398751568049192
13:43:06.534891,CPU,1,1,2,small_lstm,32768,64,770456.7539085466,5.443918790668249
13:43:11.985094,CPU,1,1,4,small_lstm,32768,64,752756.3226748866,11.143855916336179
13:43:23.184946,CPU,1,1,6,small_lstm,32768,64,745177.2077601244,16.885798262432218
13:43:40.118980,CPU,1,1,8,small_lstm,32768,64,735098.7773829661,22.823077001608908
13:44:02.833050,CPU,1,1,1,small_lstm,32768,128,1582360.6315627561,2.6506625078618526
13:44:05.487046,CPU,1,1,2,small_lstm,32768,128,1546297.5311804728,5.4249637154862285
13:44:10.940432,CPU,1,1,4,small_lstm,32768,128,1510401.9622367774,11.107782179489732
13:44:22.082863,CPU,1,1,6,small_lstm,32768,128,1496732.314843103,16.813844232819974
13:44:38.941360,CPU,1,1,8,small_lstm,32768,128,1488161.6899786666,22.547571427188814
13:45:01.382064,CPU,1,1,1,small_lstm,32768,256,3135224.4967644527,2.675600426271558
13:45:04.060661,CPU,1,1,2,small_lstm,32768,256,3106691.6609195755,5.4003479685634375
13:45:09.489948,CPU,1,1,4,small_lstm,32768,256,3016672.506557776,11.122994599863887
13:45:20.647822,CPU,1,1,6,small_lstm,32768,256,2978270.3080449356,16.899623873643577
13:45:37.591225,CPU,1,1,8,small_lstm,32768,256,2950864.851648351,22.742100154981017
13:46:00.227461,CPU,1,1,1,small_lstm,32768,512,6409877.442866282,2.61740043386817
13:46:02.847778,CPU,1,1,2,small_lstm,32768,512,6232213.366735804,5.384031326510012
13:46:08.251329,CPU,1,1,4,small_lstm,32768,512,6023139.330997776,11.141841540113091
13:46:19.437594,CPU,1,1,6,small_lstm,32768,512,5960477.681857226,16.888461189344525
13:46:36.371662,CPU,1,1,8,small_lstm,32768,512,5914556.652005971,22.692779171280563
13:46:58.956036,CPU,1,1,1,small_lstm,32768,1024,12798361.319035871,2.6217756448313594
13:47:01.580676,CPU,1,1,2,small_lstm,32768,1024,12403158.668638023,5.410626905038953
13:47:07.020206,CPU,1,1,4,small_lstm,32768,1024,12001598.451754887,11.18332100007683
13:47:18.233556,CPU,1,1,6,small_lstm,32768,1024,11839407.489457637,17.004786107689142
13:47:35.287039,CPU,1,1,8,small_lstm,32768,1024,11745359.395853085,22.854597033001482
13:47:58.035338,CPU,1,1,1,medium_cnn,32768,1,12327.578487213323,2.6581051610410213
13:48:00.696578,CPU,1,1,2,medium_cnn,32768,1,12049.975773630591,5.43868313357234
13:48:06.165016,CPU,1,1,4,medium_cnn,32768,1,11773.225400857247,11.133057895116508
13:48:17.332165,CPU,1,1,6,medium_cnn,32768,1,11621.467068440488,16.917657542042434
13:48:34.293948,CPU,1,1,8,medium_cnn,32768,1,11530.606828878445,22.734623068012297
13:48:56.922083,CPU,1,1,1,medium_cnn,32768,2,25067.790633052915,2.6143508600071073
13:48:59.539323,CPU,1,1,2,medium_cnn,32768,2,24293.03407206232,5.395456146448851
13:49:04.956668,CPU,1,1,4,medium_cnn,32768,2,23581.586783017352,11.116469914093614
13:49:16.113397,CPU,1,1,6,medium_cnn,32768,2,23255.104374974344,16.90880391933024
13:49:33.065867,CPU,1,1,8,medium_cnn,32768,2,23079.977178088327,22.716140313073993
13:49:55.677476,CPU,1,1,1,medium_cnn,32768,4,49385.92387261679,2.654035598039627
13:49:58.421440,CPU,1,1,2,medium_cnn,32768,4,48021.654538335984,5.45887063909322
13:50:03.906033,CPU,1,1,4,medium_cnn,32768,4,46937.38694824669,11.169944346882403
13:50:15.117242,CPU,1,1,6,medium_cnn,32768,4,46159.560134820254,17.037250738590956
13:50:32.191623,CPU,1,1,8,medium_cnn,32768,4,45898.486198816594,22.84554648399353
13:50:54.935197,CPU,1,1,1,medium_cnn,32768,8,99718.56017589824,2.62883859872818
13:50:57.567837,CPU,1,1,2,medium_cnn,32768,8,96501.03705124669,5.432977883145213
13:51:03.025515,CPU,1,1,4,medium_cnn,32768,8,93573.20720543459,11.205942719243467
13:51:14.269635,CPU,1,1,6,medium_cnn,32768,8,92221.91369714878,17.055208864621818
13:51:31.368830,CPU,1,1,8,medium_cnn,32768,8,91443.70085618786,22.933804957196116
